   118/299     4.13G   0.01951  0.008754         0   0.02826        13       640    0.7939    0.6531    0.7277    0.4226   0.06246   0.06046         0
   119/299     4.13G   0.02044   0.00938         0   0.02982        15       640    0.8306    0.6775    0.7393    0.4261   0.06115   0.06266         0
   120/299     4.13G   0.02108  0.009676         0   0.03076        18       640    0.8125    0.6694    0.7222    0.4207   0.06169    0.0619         0
   121/299     4.13G   0.02038  0.009259         0   0.02964        13       640    0.8287    0.6557    0.7327    0.4315   0.06204   0.06173         0
   122/299     4.13G   0.02015  0.008981         0   0.02913        10       640    0.7986    0.6449    0.7086    0.4145    0.0624   0.06168         0
   123/299     4.13G   0.01885  0.009388         0   0.02824        13       640    0.8691    0.6476    0.7464    0.4268   0.06012    0.0617         0
   124/299     4.13G   0.01904  0.009151         0   0.02819        10       640    0.8098    0.6694    0.7268    0.4322   0.05962   0.06251         0
   125/299     4.13G   0.01873  0.008335         0   0.02707         6       640    0.8131    0.6721    0.7424    0.4213   0.05997    0.0626         0
   126/299     4.13G   0.01884  0.009103         0   0.02794        20       640    0.7802    0.6639    0.7189    0.4089   0.06001   0.06386         0
   127/299     4.13G   0.01938  0.009089         0   0.02847        22       640    0.8345    0.6287    0.7101    0.4179   0.06131    0.0639         0
   128/299     4.13G   0.01979   0.00853         0   0.02832        23       640    0.8478    0.6341    0.7106    0.4115   0.06014   0.06381         0
   129/299     4.13G   0.01873  0.008739         0   0.02746        21       640     0.777    0.6802    0.7128    0.4255   0.05993   0.06523         0
   130/299     4.13G   0.01891  0.008602         0   0.02751        22       640    0.8095    0.6448    0.6978    0.4137   0.06053   0.06421         0
   131/299     4.13G   0.01911   0.00894         0   0.02805        26       640    0.8434    0.6287    0.7108    0.4188   0.06067   0.06505         0
   132/299     4.13G   0.01819  0.008675         0   0.02687        20       640    0.7906    0.6856    0.7202    0.4266   0.05907   0.06564         0
   133/299     4.13G   0.01883  0.008488         0   0.02732        13       640    0.7985     0.645    0.7034    0.4206   0.06011   0.06566         0
   134/299     4.13G    0.0189  0.008841         0   0.02774        21       640    0.7927    0.6529    0.7134    0.4263   0.06151   0.06372         0
   135/299     4.13G   0.01878  0.008934         0   0.02772        26       640     0.773    0.6828    0.7251    0.4303   0.05884   0.06434         0
   136/299     4.13G   0.01863    0.0087         0   0.02733        11       640    0.8129    0.6476    0.7094    0.4372   0.05792   0.06449         0
   137/299     4.13G   0.01825  0.008452         0    0.0267        32       640    0.7837    0.6775    0.7143    0.4377   0.05959   0.06684         0
